building,feature_set,mode,target_variant,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled
U02,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8206,ok,3.8750742013041237,2.0668210983276367,0.9133601784706116,23.907739639282227,18.27141761779785,23.29355812072754,19.623746871948242,19.506563186645508,single,,,
U02,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8206,ok,4.418205544949981,2.3591995239257812,0.8873712420463562,27.289796829223633,21.622516632080078,24.3233642578125,22.080432891845703,23.152978897094727,single,,,
U02,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8206,ok,4.019528640138244,2.019551992416382,0.9067803025245667,23.360960006713867,17.5694522857666,25.306331634521484,22.782867431640625,20.481361389160156,single,,,
U02,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8206,ok,4.658051417537472,2.5211832523345947,0.874811053276062,29.163528442382812,23.139890670776367,27.316125869750977,25.228851318359375,25.48399543762207,single,,,
U02B,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8206,ok,3.1926519607786212,2.081977128982544,0.9132125377655029,21.42878532409668,19.346271514892578,18.850191116333008,18.424762725830078,18.16849708557129,single,,,
U02B,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8206,ok,3.0288143794404077,1.890525221824646,0.9218913316726685,19.458261489868164,16.00391387939453,17.091312408447266,16.687297821044922,16.502527236938477,single,,,
U02B,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8206,ok,3.240571651185149,2.0521738529205322,0.910587728023529,21.122034072875977,20.484607696533203,20.081523895263672,19.7168025970459,18.370243072509766,single,,,
U02B,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8206,ok,3.203730828283296,2.0209717750549316,0.9126091599464417,20.800884246826172,19.793628692626953,21.92192840576172,19.885007858276367,19.016586303710938,single,,,
U02B,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8206,ok,2.88759739038614,1.8501235246658325,0.9290050864219666,19.04242706298828,14.271553039550781,13.563314437866211,12.757867813110352,13.03676986694336,single,,,
U03,setA,M2,heat_kwh,False,False,42,14,0,11158,2066,8206,ok,11.545753021860326,7.131743907928467,0.954970121383667,14.59939956665039,6.552391529083252,6.722440242767334,6.321722030639648,8.756948471069336,single,,,
U03,setA,M2,heat_kwh,False,False,52,14,0,11158,2066,8206,ok,12.053535569556448,7.633524417877197,0.9509221911430359,15.626596450805664,10.24403190612793,7.387576580047607,7.301493167877197,9.481837272644043,single,,,
U03,setA,M2,heat_kwh,False,False,62,14,0,11158,2066,8206,ok,11.252503180173921,7.10234260559082,0.9572285413742065,14.539213180541992,7.7136688232421875,6.440639495849609,6.6669511795043945,8.554675102233887,single,,,
U03,setA,M2,heat_kwh,False,False,72,14,0,11158,2066,8206,ok,11.526703059541855,7.224201202392578,0.9551185965538025,14.78866958618164,6.880221366882324,7.216808319091797,6.892829418182373,9.599576950073242,single,,,
U03,setA,M2,heat_kwh,False,False,82,14,0,11158,2066,8206,ok,10.865381657111152,7.044495582580566,0.9601208567619324,14.420793533325195,7.987419128417969,7.169162273406982,6.176113128662109,7.605785369873047,single,,,
U03B,setA,M2,heat_kwh,False,False,42,14,0,9923,2066,8206,ok,5.219137211671383,2.8832223415374756,0.9063095450401306,18.627208709716797,6.672539234161377,6.921459674835205,17.845224380493164,16.432710647583008,single,,,
U03B,setA,M2,heat_kwh,False,False,52,14,0,9923,2066,8206,ok,4.899105823439895,2.677767038345337,0.9174472093582153,17.29985237121582,6.3101115226745605,7.356709957122803,15.805547714233398,15.031135559082031,single,,,
U03B,setA,M2,heat_kwh,False,False,62,14,0,9923,2066,8206,ok,4.9320900166534924,2.888620138168335,0.9163318872451782,18.662080764770508,7.446662425994873,7.850710391998291,15.525017738342285,15.465192794799805,single,,,
U03B,setA,M2,heat_kwh,False,False,72,14,0,9923,2066,8206,ok,4.816193785548506,2.5095162391662598,0.9202178120613098,16.212860107421875,5.778238773345947,7.298062801361084,17.974119186401367,16.606441497802734,single,,,
U03B,setA,M2,heat_kwh,False,False,82,14,0,9923,2066,8206,ok,4.830765776654008,2.6582388877868652,0.9197342991828918,17.173690795898438,7.845955848693848,8.548977851867676,14.825895309448242,14.287169456481934,single,,,
U04,setA,M2,heat_kwh,False,False,42,14,0,14317,2066,8206,ok,20.901973999836564,15.096579551696777,0.9718153476715088,13.485962867736816,3.8716790676116943,5.235077381134033,4.092529296875,5.13047456741333,single,,,
U04,setA,M2,heat_kwh,False,False,52,14,0,14317,2066,8206,ok,20.062595070111584,15.369603157043457,0.974033534526825,13.7298583984375,5.125486373901367,5.382888317108154,4.496794700622559,4.817017078399658,single,,,
U04,setA,M2,heat_kwh,False,False,62,14,0,14317,2066,8206,ok,26.466721854484668,18.955270767211914,0.954810380935669,16.932979583740234,7.446902751922607,7.882759094238281,6.195816993713379,6.559957504272461,single,,,
U04,setA,M2,heat_kwh,False,False,72,14,0,14317,2066,8206,ok,23.62741157293195,17.4509334564209,0.9639860391616821,15.589137077331543,6.832990646362305,6.5601630210876465,5.481179714202881,6.169288635253906,single,,,
U04,setA,M2,heat_kwh,False,False,82,14,0,14317,2066,8206,ok,35.14801118740131,24.892215728759766,0.9203034043312073,22.236528396606445,8.361781120300293,8.27524471282959,6.672479629516602,8.181138038635254,single,,,
U04B,setA,M2,heat_kwh,False,False,42,14,0,13621,2066,8206,ok,1.9346145555500565,0.9370210766792297,0.9559838175773621,14.015280723571777,69872280.0,289594848.0,184114736.0,124655864.0,single,,,
U04B,setA,M2,heat_kwh,False,False,52,14,0,13621,2066,8206,ok,1.92857878799649,0.9603419303894043,0.9562580585479736,14.364095687866211,196846544.0,647054784.0,362640512.0,209076736.0,single,,,
U04B,setA,M2,heat_kwh,False,False,62,14,0,13621,2066,8206,ok,2.1334384097606818,1.0726594924926758,0.9464716911315918,16.0440616607666,101343688.0,396071840.0,244168496.0,176879296.0,single,,,
U04B,setA,M2,heat_kwh,False,False,72,14,0,13621,2066,8206,ok,2.045841334599881,1.0486624240875244,0.9507770538330078,15.685131072998047,167683264.0,474283200.0,273891936.0,196782848.0,single,,,
U04B,setA,M2,heat_kwh,False,False,82,14,0,13621,2066,8206,ok,1.9003990933738284,0.9462742209434509,0.9575269818305969,14.153681755065918,219845744.0,235521232.0,179724336.0,134937392.0,single,,,
U05,setA,M2,heat_kwh,False,False,42,14,0,13297,2066,8206,ok,18.143538471898196,10.02521800994873,0.9041864275932312,21.319072723388672,26.618419647216797,28.382722854614258,25.01702117919922,21.67835807800293,single,,,
U05,setA,M2,heat_kwh,False,False,52,14,0,13297,2066,8206,ok,17.015043895035944,9.37696647644043,0.9157346487045288,19.94053840637207,25.82097053527832,27.871767044067383,23.286985397338867,19.76880645751953,single,,,
U05,setA,M2,heat_kwh,False,False,62,14,0,13297,2066,8206,ok,19.00216582151106,10.297577857971191,0.894903302192688,21.898258209228516,26.743549346923828,31.95611572265625,28.745365142822266,25.84015655517578,single,,,
U05,setA,M2,heat_kwh,False,False,72,14,0,13297,2066,8206,ok,17.28685064082307,9.921445846557617,0.91302090883255,21.09839630126953,21.1727237701416,22.7152042388916,21.551868438720703,20.703857421875,single,,,
U05,setA,M2,heat_kwh,False,False,82,14,0,13297,2066,8206,ok,16.789284258656433,9.502232551574707,0.9179558753967285,20.206920623779297,23.08759117126465,26.495168685913086,22.452178955078125,20.080890655517578,single,,,
U05B,setA,M2,heat_kwh,False,False,42,14,0,9993,2066,8206,ok,1.586488449535528,0.931695818901062,0.9560065269470215,15.646905899047852,14.754502296447754,10.194308280944824,8.33483600616455,7.861380577087402,single,,,
U05B,setA,M2,heat_kwh,False,False,52,14,0,9993,2066,8206,ok,1.5534605619337494,0.9318482875823975,0.9578192234039307,15.649465560913086,14.1253023147583,7.838284969329834,5.907189846038818,6.04246187210083,single,,,
U05B,setA,M2,heat_kwh,False,False,62,14,0,9993,2066,8206,ok,1.6344028740396872,0.9995176792144775,0.9533090591430664,16.785905838012695,14.459110260009766,7.52764892578125,5.684329032897949,5.930971145629883,single,,,
U05B,setA,M2,heat_kwh,False,False,72,14,0,9993,2066,8206,ok,1.7147807672356827,0.9626792669296265,0.9486037492752075,16.1672420501709,17.093589782714844,11.169127464294434,10.138344764709473,9.213464736938477,single,,,
U05B,setA,M2,heat_kwh,False,False,82,14,0,9993,2066,8206,ok,1.8446280764637937,0.9957236647605896,0.9405253529548645,16.72218894958496,18.845077514648438,13.645257949829102,10.062807083129883,8.850439071655273,single,,,
U06,setA,M2,heat_kwh,False,False,42,14,0,13297,2066,8206,ok,9.85471394627417,5.867311477661133,0.970805287361145,9.988625526428223,11.274956703186035,11.894209861755371,10.120899200439453,10.047741889953613,single,,,
U06,setA,M2,heat_kwh,False,False,52,14,0,13297,2066,8206,ok,9.840960976421618,5.594161510467529,0.9708867073059082,9.523611068725586,14.653992652893066,14.439769744873047,11.003501892089844,11.188440322875977,single,,,
U06,setA,M2,heat_kwh,False,False,62,14,0,13297,2066,8206,ok,9.404918893305164,5.633999347686768,0.9734094738960266,9.591431617736816,11.734528541564941,12.551135063171387,11.032193183898926,10.036219596862793,single,,,
U06,setA,M2,heat_kwh,False,False,72,14,0,13297,2066,8206,ok,9.068554769526958,5.648826599121094,0.9752774834632874,9.616673469543457,10.22602653503418,10.28192138671875,9.60091495513916,8.903173446655273,single,,,
U06,setA,M2,heat_kwh,False,False,82,14,0,13297,2066,8206,ok,10.135218232510116,5.864332675933838,0.9691196084022522,9.983555793762207,13.002763748168945,13.97594165802002,11.269637107849121,11.610994338989258,single,,,
U06A,setA,M2,heat_kwh,False,False,42,14,0,13297,2066,8206,ok,3.3557704305867366,1.8705641031265259,0.9243482947349548,21.102378845214844,14.369240760803223,15.55412769317627,12.83331298828125,12.039600372314453,single,,,
U06A,setA,M2,heat_kwh,False,False,52,14,0,13297,2066,8206,ok,3.3318099991571244,1.8625110387802124,0.9254247546195984,21.01152992248535,15.340563774108887,16.163061141967773,14.811259269714355,13.54610824584961,single,,,
U06A,setA,M2,heat_kwh,False,False,62,14,0,13297,2066,8206,ok,3.5014328067427307,1.9919036626815796,0.9176382422447205,22.47124481201172,13.951521873474121,15.011564254760742,13.625341415405273,12.634393692016602,single,,,
U06A,setA,M2,heat_kwh,False,False,72,14,0,13297,2066,8206,ok,3.151013704706556,1.7710790634155273,0.933298647403717,19.980058670043945,14.977705001831055,15.802997589111328,13.710702896118164,12.439404487609863,single,,,
U06A,setA,M2,heat_kwh,False,False,82,14,0,13297,2066,8206,ok,3.158960217453924,1.7680472135543823,0.9329617619514465,19.945858001708984,13.844510078430176,14.153061866760254,12.607776641845703,11.76860237121582,single,,,
GEO,setA,M3,heat_kwh,False,False,42,15,0,11088,2066,8213,ok,76.60397473573092,13.61818790435791,0.08670032024383545,72.49406433105469,29.5882625579834,39.73802185058594,35.714237213134766,30.64048957824707,single,,,
GEO,setA,M3,heat_kwh,False,False,52,15,0,11088,2066,8213,ok,77.48950281731713,13.651293754577637,0.06546318531036377,72.67030334472656,27.85122299194336,44.3607063293457,38.90143966674805,32.6010627746582,single,,,
GEO,setA,M3,heat_kwh,False,False,62,15,0,11088,2066,8213,ok,76.67243701393774,13.738590240478516,0.08506715297698975,73.13500213623047,36.60564422607422,45.06134796142578,41.856834411621094,35.26384735107422,single,,,
GEO,setA,M3,heat_kwh,False,False,72,15,0,11088,2066,8213,ok,76.78325317899731,13.61265754699707,0.08242052793502808,72.46463012695312,32.055381774902344,42.50845718383789,37.33097457885742,31.473167419433594,single,,,
GEO,setA,M3,heat_kwh,False,False,82,15,0,11088,2066,8213,ok,76.58864987099916,13.543754577636719,0.0870656967163086,72.09783172607422,33.58772277832031,47.16468048095703,41.170597076416016,35.373416900634766,single,,,
