Building,Horizon_h,target_col,Model,Status,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_g_pct,R2,ResidAC1,ResidStd,MAE_peak,RMSE_peak,n_peak
U04,8,target_point_h8,Persistence_1h,ok,6161,17.789,29.524,11.683,24.165,23.422,0.944,0.9032,29.52,48.848,61.489,190
U04,8,target_point_h8,Persistence_week,ok,6161,61.232,97.754,40.216,58.542,78.214,0.3858,0.9925,97.633,272.054,292.411,190
U04,8,target_point_h8,Static_ES,ok,6161,86.077,100.011,56.534,61.435,214.279,0.3572,0.9825,70.959,202.14,208.086,190
U04,8,target_point_h8,ARX_ES,ok,6161,24.029,32.344,15.782,37.386,59.689,0.9328,0.9211,29.237,59.386,73.142,190
U04,8,target_point_h8,ARMAX_ES,ok,6161,4.737,11.304,3.111,20.311,8.741,0.9918,0.1823,11.284,15.314,43.807,190
U04B,8,target_point_h8,Persistence_1h,ok,6161,2.292,4.423,25.282,26.008,39.566,0.7912,0.8686,4.422,3.088,5.815,432
U04B,8,target_point_h8,Persistence_week,ok,6161,5.062,8.102,55.83,63.197,71.772,0.2993,0.9721,8.084,9.842,13.125,432
U04B,8,target_point_h8,Static_ES,ok,6161,8.542,9.935,94.211,121.447,58.907,-0.0535,0.987,9.913,17.337,17.521,432
U04B,8,target_point_h8,ARX_ES,ok,6161,2.51,4.19,27.686,101.138,38.483,0.8126,0.8922,4.187,3.259,5.815,432
U04B,8,target_point_h8,ARMAX_ES,ok,6161,0.704,1.55,7.767,86.146,12.26,0.9743,0.0239,1.549,0.986,2.339,432
U05,8,target_point_h8,Persistence_1h,ok,6161,33.394,51.841,51.92,58.86,88.872,0.2461,0.9169,51.841,77.611,91.685,986
U05,8,target_point_h8,Persistence_week,ok,6161,31.639,47.456,49.191,74.163,95.762,0.3682,0.9535,47.453,61.024,77.708,986
U05,8,target_point_h8,Static_ES,ok,6161,31.163,45.291,48.452,75.482,100.623,0.4245,0.9427,43.068,88.101,95.657,986
U05,8,target_point_h8,ARX_ES,ok,6161,28.346,42.196,44.072,72.955,88.033,0.5005,0.925,41.559,74.703,87.227,986
U05,8,target_point_h8,ARMAX_ES,ok,6161,7.707,14.299,11.983,39.335,18.108,0.9426,-0.0678,14.056,16.559,25.561,986
U05B,8,target_point_h8,Persistence_1h,ok,6161,2.252,3.769,27.693,37.199,39.311,0.7638,0.8408,3.769,4.572,7.165,531
U05B,8,target_point_h8,Persistence_week,ok,6161,4.293,6.417,52.793,76.936,65.098,0.3154,0.9598,6.415,10.157,12.322,531
U05B,8,target_point_h8,Static_ES,ok,6161,3.42,4.656,42.065,73.13,47.592,0.6395,0.9446,4.586,7.711,9.254,531
U05B,8,target_point_h8,ARX_ES,ok,6161,2.595,3.605,31.919,68.869,37.718,0.784,0.8814,3.572,5.648,7.624,531
U05B,8,target_point_h8,ARMAX_ES,ok,6161,0.833,1.533,10.242,52.09,15.728,0.9609,-0.2193,1.522,1.449,2.658,531
U06,8,target_point_h8,Persistence_1h,ok,6161,16.493,25.601,20.926,27.504,33.655,0.7818,0.895,25.6,35.63,49.359,527
U06,8,target_point_h8,Persistence_week,ok,6161,33.405,47.437,42.382,61.349,79.519,0.2509,0.9805,47.415,75.767,87.941,527
U06,8,target_point_h8,Static_ES,ok,6161,21.296,31.045,27.019,42.059,110.797,0.6792,0.9592,30.624,43.132,53.702,527
U06,8,target_point_h8,ARX_ES,ok,6161,16.893,23.413,21.433,39.156,73.418,0.8175,0.909,23.195,35.025,44.382,527
U06,8,target_point_h8,ARMAX_ES,ok,6161,4.538,7.912,5.758,18.593,9.443,0.9792,0.1938,7.91,7.993,13.748,527
U06A,8,target_point_h8,Persistence_1h,ok,6161,6.293,10.415,51.673,57.46,75.946,0.3446,0.9183,10.415,19.495,21.433,317
U06A,8,target_point_h8,Persistence_week,ok,6161,5.349,8.036,43.927,74.375,61.727,0.6098,0.9311,8.034,10.921,13.452,317
U06A,8,target_point_h8,Static_ES,ok,6161,8.708,10.114,71.511,93.618,132.187,0.3819,0.9336,8.465,14.795,15.535,317
U06A,8,target_point_h8,ARX_ES,ok,6161,6.438,8.96,52.868,83.22,83.844,0.5149,0.9156,8.702,16.841,18.492,317
U06A,8,target_point_h8,ARMAX_ES,ok,6161,1.479,2.93,12.143,52.286,19.698,0.9481,0.2778,2.929,3.903,6.172,317
