building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U05,M2,62,target_point_h4,point,4,14,15364,1536,8203,ok,19.211154336159353,10.553363800048828,0.8924685716629028,22.46531867980957,14015030.0,32.54612406366109,6809521.409526641,-10.08080538385152,7205508.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,42,target_point_h4,point,4,15,15364,1536,8203,ok,18.749431143714485,10.38394832611084,0.897575318813324,22.104679107666016,11135423.0,32.54612406366109,6809521.409526641,-10.441444955995074,4325901.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,52,target_point_h4,point,4,15,15364,1536,8203,ok,18.17670259122495,10.124354362487793,0.9037371873855591,21.552072525024414,11030495.0,32.54612406366109,6809521.409526641,-10.994051538636676,4220973.590473359,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M3,62,target_point_h4,point,4,15,15364,1536,8203,ok,18.61081313974906,10.274835586547852,0.899084210395813,21.872407913208008,10633823.0,32.54612406366109,6809521.409526641,-10.673716150453082,3824301.5904733595,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M0,42,target_point_h8,point,8,8,15364,1536,8199,ok,21.031828964449186,11.888970375061035,0.8703655004501343,25.34646224975586,25676406.0,52.00576454665609,16730115.838286167,-26.65930229690023,8946290.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M0,52,target_point_h8,point,8,8,15364,1536,8199,ok,21.983494896207073,12.070980072021484,0.8583683967590332,25.734495162963867,23579232.0,52.00576454665609,16730115.838286167,-26.27126938369222,6849116.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M0,62,target_point_h8,point,8,8,15364,1536,8199,ok,21.58540874307153,11.982877731323242,0.8634514212608337,25.546667098999023,26897260.0,52.00576454665609,16730115.838286167,-26.459097447657065,10167144.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,42,target_point_h8,point,8,9,15364,1536,8199,ok,21.011933342113892,11.810310363769531,0.8706105947494507,25.178762435913086,18725670.0,52.00576454665609,16730115.838286167,-26.827002110743003,1995554.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,52,target_point_h8,point,8,9,15364,1536,8199,ok,21.589468104996023,11.89802360534668,0.8634000420570374,25.365764617919922,15423392.0,52.00576454665609,16730115.838286167,-26.639999928736167,-1306723.838286167,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,62,target_point_h8,point,8,9,15364,1536,8199,ok,20.87221193254398,11.616994857788086,0.8723256587982178,24.76662826538086,15074511.0,52.00576454665609,16730115.838286167,-27.23913628127523,-1655604.838286167,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,42,target_point_h8,point,8,14,15364,1536,8199,ok,21.559366988194263,12.058675765991211,0.863780677318573,25.708263397216797,20201428.0,52.00576454665609,16730115.838286167,-26.29750114943929,3471312.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,52,target_point_h8,point,8,14,15364,1536,8199,ok,21.3092972930373,11.785001754760742,0.8669224381446838,25.124807357788086,16564448.0,52.00576454665609,16730115.838286167,-26.880957188868003,-165667.838286167,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,62,target_point_h8,point,8,14,15364,1536,8199,ok,21.340258825246604,11.952193260192871,0.8665354251861572,25.481246948242188,17747200.0,52.00576454665609,16730115.838286167,-26.5245175984139,1017084.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,42,target_point_h8,point,8,15,15364,1536,8199,ok,21.481827974021876,11.968642234802246,0.8647587895393372,25.51631736755371,18763726.0,52.00576454665609,16730115.838286167,-26.489447179102378,2033610.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,52,target_point_h8,point,8,15,15364,1536,8199,ok,21.43206629273463,11.881312370300293,0.865384578704834,25.330135345458984,15887125.0,52.00576454665609,16730115.838286167,-26.675629201197104,-842990.838286167,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,62,target_point_h8,point,8,15,15364,1536,8199,ok,21.24347182583025,11.782530784606934,0.8677433133125305,25.119539260864258,18341284.0,52.00576454665609,16730115.838286167,-26.88622528579183,1611168.161713833,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M0,42,target_cum_h4,cumulative,4,8,15364,1536,8203,ok,60.66789518237282,32.82574462890625,0.9307055473327637,17.461315155029297,3276438.25,21.197232831261676,1295629.9077598478,-3.735917676232379,1980808.3422401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
U05,M0,52,target_cum_h4,cumulative,4,8,15364,1536,8203,ok,61.01102935637949,32.64735412597656,0.9299194812774658,17.36642074584961,3363803.5,21.197232831261676,1295629.9077598478,-3.8308120854120666,2068173.5922401522,35,2024-01-02 02:00:00,2024-12-30 15:00:00
